ID1,ID2,ID3,Kt,theta0
3,1,0,35.0000,1.9722
3,4,2,35.0000,2.0944
4,3,1,70.0000,2.0944
6,11,5,33.0000,1.8815
7,8,3,35.0000,2.0944
8,3,1,70.0000,2.0944
8,3,4,63.0000,2.0944
9,4,2,35.0000,2.0944
9,4,3,63.0000,2.0944
10,9,4,35.0000,2.0944
12,11,5,33.0000,1.8815
12,11,6,33.0000,1.8815
13,8,3,63.0000,2.0944
13,8,7,35.0000,2.0944
13,14,9,63.0000,2.0944
14,9,4,63.0000,2.0944
14,9,10,35.0000,2.0944
14,13,8,63.0000,2.0944
16,19,15,33.0000,1.8815
17,23,14,35.0000,1.9111
18,13,8,35.0000,2.0944
18,13,14,35.0000,2.0944
19,21,11,58.3500,1.9670
21,11,5,37.5000,1.9321
21,11,6,37.5000,1.9321
21,11,12,37.5000,1.9321
21,19,15,37.5000,1.9321
21,19,16,37.5000,1.9321
21,25,20,37.5000,1.9321
22,23,14,35.0000,1.9111
22,23,17,33.0000,1.8815
23,14,9,70.0000,2.0944
23,14,13,70.0000,2.0944
24,25,20,33.0000,1.8815
24,25,21,37.5000,1.9321
25,21,11,58.3500,1.9670
25,21,19,58.3500,1.9670
26,21,11,37.5000,1.9321
26,21,19,37.5000,1.9321
26,21,25,37.5000,1.9321
27,19,15,33.0000,1.8815
27,19,16,33.0000,1.8815
27,19,21,37.5000,1.9321
31,38,28,35.0000,1.9111
34,31,30,80.0000,2.1991
36,38,28,33.0000,1.8815
36,38,31,35.0000,1.9111
37,45,33,35.0000,1.9111
38,31,30,70.0000,2.0420
38,31,34,70.0000,2.0420
40,23,14,63.0000,1.9897
40,23,17,37.5000,1.9321
40,23,22,37.5000,1.9321
41,47,40,38.0000,2.0665
42,40,23,37.5000,1.9321
44,45,33,33.0000,1.8815
44,45,37,35.0000,1.9111
45,37,35,55.0000,1.8937
46,25,20,37.5000,1.9321
46,25,21,58.3500,1.9670
46,25,24,37.5000,1.9321
47,40,23,80.0000,1.9146
47,40,42,35.0000,1.9111
48,56,40,80.0000,2.1014
49,46,25,37.5000,1.9321
53,54,46,80.0000,2.1014
54,46,25,63.0000,1.9391
54,46,49,35.0000,1.9111
56,40,23,63.0000,1.9391
56,40,42,35.0000,1.9111
56,40,47,63.0000,1.9216
57,68,52,80.0000,2.1450
58,64,46,38.0000,2.0665
59,39,29,35.0000,1.9722
59,60,43,35.0000,2.0944
60,59,39,70.0000,2.0944
61,52,32,35.0000,2.0944
64,46,25,80.0000,1.9146
64,46,49,35.0000,1.9111
64,46,54,63.0000,1.9216
65,54,46,70.0000,2.0351
65,54,53,80.0000,2.1450
65,73,55,35.0000,1.9111
66,47,40,50.0000,2.1276
66,47,41,35.0000,2.0909
66,73,55,35.0000,1.9111
66,73,65,63.0000,1.9216
67,65,54,35.0000,2.0909
68,52,32,35.0000,2.0909
68,52,61,35.0000,2.0909
69,38,28,37.5000,1.9321
69,38,31,63.0000,1.9391
69,38,36,37.5000,1.9321
69,77,62,38.0000,2.0665
73,65,54,50.0000,2.1276
73,65,67,38.0000,2.0665
73,66,47,70.0000,2.0351
75,69,38,37.5000,1.9321
76,74,50,35.0000,1.9111
77,69,38,80.0000,1.9146
77,69,75,35.0000,1.9111
80,72,51,35.0000,2.0944
81,66,47,80.0000,2.1450
81,66,73,80.0000,2.1014
82,45,33,37.5000,1.9321
82,45,37,50.0000,1.9111
82,45,44,37.5000,1.9321
82,89,77,70.0000,2.0351
83,98,74,35.0000,1.9111
84,74,50,35.0000,1.9111
84,74,76,35.0000,1.9111
86,56,40,70.0000,2.0351
86,56,48,80.0000,2.1450
87,98,74,35.0000,1.9111
87,98,83,33.0000,1.8815
89,77,62,35.0000,2.0909
89,77,69,50.0000,2.1276
89,82,45,63.0000,1.9391
90,92,59,35.0000,2.0944
91,82,45,37.5000,1.9321
91,82,89,35.0000,1.9111
92,59,39,70.0000,2.0944
92,59,60,63.0000,2.0944
93,60,43,35.0000,2.0944
93,60,59,63.0000,2.0944
94,108,78,37.5000,1.9321
95,93,60,35.0000,2.0944
97,86,56,35.0000,2.0909
98,74,50,35.0000,1.9111
98,74,76,35.0000,1.9111
98,74,84,35.0000,1.9111
99,106,69,80.0000,2.1014
100,94,63,33.0000,1.8815
101,111,72,70.0000,2.0944
104,64,46,50.0000,2.1276
104,64,58,35.0000,2.0909
105,123,96,37.5000,1.9321
106,69,38,63.0000,1.9391
106,69,75,35.0000,1.9111
106,69,77,63.0000,1.9216
108,94,63,37.5000,1.9321
108,94,100,37.5000,1.9321
110,89,77,80.0000,2.1450
110,89,82,80.0000,2.1014
111,72,51,35.0000,2.0944
111,72,80,35.0000,2.0944
111,101,70,35.0000,2.0944
112,115,82,38.0000,2.0665
113,105,71,33.0000,1.8815
114,116,85,55.0000,1.8937
114,127,86,80.0000,1.9146
115,82,45,80.0000,1.9146
115,82,89,63.0000,1.9216
115,82,91,35.0000,1.9111
116,114,79,35.0000,1.9111
118,123,96,33.0000,1.8815
118,123,105,37.5000,1.9321
119,130,94,37.5000,1.9321
121,104,64,80.0000,2.1450
122,68,52,70.0000,2.0351
122,68,57,80.0000,2.1014
123,105,71,37.5000,1.9321
123,105,113,37.5000,1.9321
124,73,55,37.5000,1.9321
124,73,65,80.0000,1.9146
124,73,66,63.0000,1.9391
125,139,103,35.0000,1.9111
126,124,73,37.5000,1.9321
127,86,56,50.0000,2.1276
127,86,97,38.0000,2.0665
127,114,79,37.5000,1.9321
127,114,116,50.0000,1.9111
128,124,73,37.5000,1.9321
128,124,126,33.0000,1.8815
129,144,109,37.5000,1.9321
129,149,101,80.0000,1.9408
130,94,63,37.5000,1.9321
130,94,100,37.5000,1.9321
130,94,108,58.3500,1.9670
130,147,104,63.0000,1.9391
131,135,115,80.0000,2.1450
132,108,78,35.0000,1.9111
132,108,94,80.0000,1.9146
132,147,104,63.0000,1.9216
132,147,130,80.0000,1.9146
133,127,86,35.0000,1.9111
133,127,114,37.5000,1.9321
134,122,68,35.0000,1.9111
135,115,82,50.0000,2.1276
135,115,112,35.0000,2.0909
135,155,122,63.0000,1.9391
136,108,78,33.0000,1.8815
136,108,94,37.5000,1.9321
136,108,132,35.0000,1.9111
137,92,59,63.0000,2.0944
137,92,90,35.0000,2.0944
137,141,93,63.0000,2.0944
139,158,120,37.5000,1.9321
140,122,68,35.0000,1.9111
140,122,134,33.0000,1.8815
141,93,60,63.0000,2.0944
141,93,95,35.0000,2.0944
141,137,92,63.0000,2.0944
142,114,79,33.0000,1.8815
142,114,116,35.0000,1.9111
142,114,127,37.5000,1.9321
143,105,71,35.0000,1.9111
143,105,113,35.0000,1.9111
143,105,123,63.0000,1.9391
144,129,88,37.5000,1.9321
144,150,107,37.5000,1.9321
145,155,122,80.0000,1.9146
145,155,135,63.0000,1.9216
146,143,105,70.0000,2.0420
147,104,64,70.0000,2.0351
147,104,121,80.0000,2.1014
147,130,94,58.3500,1.9670
147,130,119,37.5000,1.9321
147,132,108,50.0000,2.0595
149,101,70,35.0000,2.0665
149,101,111,50.0000,2.1502
149,129,88,37.5000,1.9321
149,129,144,58.3500,1.9670
150,144,109,37.5000,1.9321
150,144,129,58.3500,1.9670
150,154,132,70.0000,2.0351
153,170,151,35.0000,2.0944
154,132,108,50.0000,2.1276
154,132,147,50.0000,2.1276
154,150,107,35.0000,1.9111
154,150,144,63.0000,1.9391
155,122,68,63.0000,1.9391
155,122,134,37.5000,1.9321
155,122,140,37.5000,1.9321
155,135,115,70.0000,2.0351
155,135,131,80.0000,2.1014
155,145,102,38.0000,2.0665
156,149,101,35.0000,1.9111
156,149,129,37.5000,1.9321
157,129,88,33.0000,1.8815
157,129,144,37.5000,1.9321
157,129,149,37.5000,1.9321
158,139,103,37.5000,1.9321
158,139,125,50.0000,1.9111
158,185,145,70.0000,2.0351
159,177,151,35.0000,2.0944
160,106,69,70.0000,2.0351
160,106,99,80.0000,2.1450
161,98,74,80.0000,1.9408
161,98,83,37.5000,1.9321
161,98,87,37.5000,1.9321
162,111,72,70.0000,2.0944
162,111,101,70.0000,2.0944
164,125,139,55.0000,1.8937
165,179,163,35.0000,2.0944
166,195,161,37.5000,1.9321
167,160,106,35.0000,2.0909
169,162,111,35.0000,2.0944
170,151,117,35.0000,2.0944
171,181,124,37.5000,1.9321
172,137,92,35.0000,2.0944
172,137,141,35.0000,2.0944
173,139,103,33.0000,1.8815
173,139,125,35.0000,1.9111
173,139,158,37.5000,1.9321
175,195,161,37.5000,1.9321
175,195,166,33.0000,1.8815
176,130,94,37.5000,1.9321
176,130,119,33.0000,1.8815
176,130,147,37.5000,1.9321
177,151,117,35.0000,2.0944
177,151,170,63.0000,2.0944
178,161,98,37.5000,1.9321
179,165,148,35.0000,2.0944
180,183,138,33.0000,1.8815
181,124,73,58.3500,1.9670
181,124,126,37.5000,1.9321
181,124,128,37.5000,1.9321
182,181,124,37.5000,1.9321
182,181,171,33.0000,1.8815
183,197,165,70.0000,2.0944
184,154,132,80.0000,2.1450
184,154,150,80.0000,2.1014
185,145,102,35.0000,2.0909
185,145,155,50.0000,2.1276
185,158,120,35.0000,1.9111
185,158,139,63.0000,1.9391
187,161,98,37.5000,1.9321
187,161,178,33.0000,1.8815
188,144,109,33.0000,1.8815
188,144,129,37.5000,1.9321
188,144,150,37.5000,1.9321
189,203,141,35.0000,1.9111
190,127,86,63.0000,1.9216
190,127,114,63.0000,1.9391
190,127,133,35.0000,1.9111
191,190,127,80.0000,2.1014
192,143,105,70.0000,2.0420
192,143,146,80.0000,2.1991
194,149,101,35.0000,1.9111
194,149,129,37.5000,1.9321
194,149,156,33.0000,1.8815
195,161,98,58.3500,1.9670
195,161,178,37.5000,1.9321
195,161,187,37.5000,1.9321
197,165,148,35.0000,2.0944
197,165,179,63.0000,2.0944
197,183,138,35.0000,1.9111
197,183,180,35.0000,1.9111
198,147,104,35.0000,1.9111
198,147,130,37.5000,1.9321
198,147,132,35.0000,1.9111
199,123,96,37.5000,1.9321
199,123,105,58.3500,1.9670
199,123,118,37.5000,1.9321
199,200,168,38.0000,2.0665
200,199,123,80.0000,1.9146
203,141,93,70.0000,2.0944
203,141,137,70.0000,2.0944
203,219,186,37.5000,1.9321
204,162,111,35.0000,2.0944
204,162,169,35.0000,2.0944
205,206,150,50.0000,2.1276
206,150,107,35.0000,1.9111
206,150,144,80.0000,1.9146
206,150,154,63.0000,1.9216
206,205,152,80.0000,2.1450
208,155,122,37.5000,1.9321
208,155,135,35.0000,1.9111
208,155,145,35.0000,1.9111
209,158,120,35.0000,1.9111
209,158,139,80.0000,1.9146
209,158,185,63.0000,1.9216
209,216,174,80.0000,2.1450
210,217,160,35.0000,1.9111
211,179,163,35.0000,2.0944
211,179,165,63.0000,2.0944
214,199,123,37.5000,1.9321
214,199,200,35.0000,1.9111
216,209,158,50.0000,2.1276
217,160,106,50.0000,2.1276
217,160,167,38.0000,2.0665
217,218,202,80.0000,2.1014
218,217,160,63.0000,1.9216
218,217,210,35.0000,1.9111
219,203,141,63.0000,1.9897
219,203,189,37.5000,1.9321
219,238,218,50.0000,2.1276
220,197,165,63.0000,2.0944
220,197,183,70.0000,2.0944
220,234,211,63.0000,2.0944
222,211,179,70.0000,2.0944
225,170,151,63.0000,2.0944
225,170,153,35.0000,2.0944
227,222,211,35.0000,1.9722
229,177,151,63.0000,2.0944
229,177,159,35.0000,2.0944
229,261,225,85.0000,2.1415
230,247,183,63.0000,1.9391
234,211,179,63.0000,2.0944
234,211,222,70.0000,2.0944
234,220,197,63.0000,2.0944
235,200,168,35.0000,2.0909
235,200,199,50.0000,2.1276
235,246,196,35.0000,1.9111
237,239,199,70.0000,2.0351
238,218,202,80.0000,2.1450
238,218,217,70.0000,2.0351
238,219,186,35.0000,1.9111
238,219,203,80.0000,1.9146
239,199,123,63.0000,1.9391
239,199,200,63.0000,1.9216
239,199,214,35.0000,1.9111
239,237,201,35.0000,2.0909
241,209,158,38.0000,2.0665
241,209,216,35.0000,2.0909
242,252,190,35.0000,2.0909
244,284,233,33.0000,1.8815
245,220,197,35.0000,2.0944
245,220,234,35.0000,2.0944
246,235,200,70.0000,2.0351
246,297,240,37.5000,1.9321
247,183,138,37.5000,1.9321
247,183,180,37.5000,1.9321
247,183,197,63.0000,1.9897
247,230,193,80.0000,2.1014
247,257,215,38.0000,2.0665
248,203,141,35.0000,1.9111
248,203,189,33.0000,1.8815
248,203,219,37.5000,1.9321
249,271,212,33.0000,1.8815
252,190,127,70.0000,2.0351
252,190,191,80.0000,2.1450
253,225,170,35.0000,2.0944
254,185,145,80.0000,2.1450
254,185,158,80.0000,2.1014
255,181,124,58.3500,1.9670
255,181,171,37.5000,1.9321
255,181,182,37.5000,1.9321
256,255,181,37.5000,1.9321
257,247,183,80.0000,1.9146
257,247,230,63.0000,1.9216
258,206,150,38.0000,2.0665
258,206,205,35.0000,2.0909
260,275,255,35.0000,2.0665
261,225,170,85.0000,2.0944
261,225,253,35.0000,2.0944
261,229,177,85.0000,2.0281
262,278,228,35.0000,2.0944
264,309,251,35.0000,1.9111
265,289,231,35.0000,2.0944
266,263,243,80.0000,2.1991
269,238,218,35.0000,2.0909
269,238,219,38.0000,2.0665
271,321,267,37.5000,1.9321
272,234,211,35.0000,2.0944
272,234,220,35.0000,2.0944
275,255,181,80.0000,1.9408
275,255,256,35.0000,1.9111
277,312,246,50.0000,2.1276
278,262,213,35.0000,2.0944
279,308,237,63.0000,1.9216
280,292,216,35.0000,1.9111
283,195,161,58.3500,1.9670
283,195,166,37.5000,1.9321
283,195,175,37.5000,1.9321
285,235,200,80.0000,2.1450
285,235,246,80.0000,2.1014
286,287,205,63.0000,1.9391
286,290,229,70.0000,2.2445
287,205,152,80.0000,2.1014
287,205,206,70.0000,2.0351
287,286,224,37.5000,1.9321
289,265,207,35.0000,2.0944
290,229,177,85.0000,2.3544
290,229,261,85.0000,1.8989
290,286,224,35.0000,1.9111
290,286,287,63.0000,2.0176
291,300,287,38.0000,2.0665
292,216,174,80.0000,2.1014
292,216,209,70.0000,2.0351
292,296,230,50.0000,2.1276
294,308,237,80.0000,1.9146
294,308,279,63.0000,1.9391
295,294,221,33.0000,1.8815
296,230,193,80.0000,2.1450
296,230,247,70.0000,2.0351
296,292,216,63.0000,1.9216
296,292,280,35.0000,1.9111
297,246,196,37.5000,1.9321
297,246,235,63.0000,1.9391
297,355,271,58.3500,1.9670
298,283,195,37.5000,1.9321
299,324,259,35.0000,1.9111
300,287,205,63.0000,1.9216
300,287,286,80.0000,1.9146
302,275,255,50.0000,2.1502
302,275,260,35.0000,2.0944
303,239,199,80.0000,2.1014
303,239,237,80.0000,2.1450
304,342,283,37.5000,1.9321
305,307,217,37.5000,1.9321
306,314,219,80.0000,2.1014
307,217,160,80.0000,1.9146
307,217,210,37.5000,1.9321
307,217,218,63.0000,1.9391
307,331,262,70.0000,2.0944
308,237,201,38.0000,2.0665
308,237,239,50.0000,2.1276
308,279,232,80.0000,2.1014
308,294,221,37.5000,1.9321
308,294,295,37.5000,1.9321
309,264,226,70.0000,2.0420
311,330,268,35.0000,2.0944
312,246,196,35.0000,1.9111
312,246,235,63.0000,1.9216
312,246,297,80.0000,1.9146
312,277,223,80.0000,2.1450
313,322,284,70.0000,2.0944
314,219,186,35.0000,1.9111
314,219,203,63.0000,1.9391
314,219,238,63.0000,1.9216
315,302,275,70.0000,2.0944
316,315,302,35.0000,2.0944
317,247,183,37.5000,1.9321
317,247,230,35.0000,1.9111
317,247,257,35.0000,1.9111
318,320,279,50.0000,2.1276
318,368,288,37.5000,1.9321
319,255,181,37.5000,1.9321
319,255,256,33.0000,1.8815
319,255,275,35.0000,1.9111
320,279,232,80.0000,2.1450
320,279,308,70.0000,2.0351
320,318,236,35.0000,1.9111
321,271,212,37.5000,1.9321
321,271,249,37.5000,1.9321
321,339,270,35.0000,1.9111
322,284,233,35.0000,1.9111
322,284,244,35.0000,1.9111
322,313,282,35.0000,2.0944
323,283,195,37.5000,1.9321
323,283,298,33.0000,1.8815
325,358,263,35.0000,1.9111
326,349,265,35.0000,2.0944
327,302,275,70.0000,2.0944
327,302,315,70.0000,2.0944
328,264,226,80.0000,2.1991
328,264,309,70.0000,2.0420
329,257,215,35.0000,2.0909
329,257,247,50.0000,2.1276
329,343,252,63.0000,1.9216
331,262,213,35.0000,2.0944
331,262,278,63.0000,2.0944
331,307,217,63.0000,1.9897
331,307,305,35.0000,1.9111
332,364,277,35.0000,1.9111
333,381,318,70.0000,2.0351
333,385,284,80.0000,1.9146
334,300,287,50.0000,2.1276
334,300,291,35.0000,2.0909
334,342,283,63.0000,1.9391
334,342,304,35.0000,1.9111
337,309,251,33.0000,1.8815
337,309,264,35.0000,1.9111
339,321,267,35.0000,1.9111
339,321,271,80.0000,1.9408
340,386,338,33.0000,1.8815
341,315,302,35.0000,2.0944
341,315,316,35.0000,2.0944
342,283,195,58.3500,1.9670
342,283,298,37.5000,1.9321
342,283,323,37.5000,1.9321
342,334,300,70.0000,2.0351
343,252,190,50.0000,2.1276
343,252,242,38.0000,2.0665
343,329,257,70.0000,2.0351
344,261,225,70.0000,2.3178
344,261,229,70.0000,1.8221
344,372,290,70.0000,1.8972
345,327,302,35.0000,2.0944
346,327,302,35.0000,2.0944
346,327,345,35.0000,2.0944
347,324,259,35.0000,1.9111
347,324,299,35.0000,1.9111
348,353,313,35.0000,2.0944
349,265,207,35.0000,2.0944
349,265,289,63.0000,2.0944
351,364,277,35.0000,1.9111
351,364,332,33.0000,1.8815
352,334,300,80.0000,2.1450
352,334,342,80.0000,2.1014
353,313,282,35.0000,2.0944
353,313,322,63.0000,2.0944
354,335,250,80.0000,2.1991
355,271,212,37.5000,1.9321
355,271,249,37.5000,1.9321
355,271,321,58.3500,1.9670
355,297,240,37.5000,1.9321
355,297,246,58.3500,1.9670
358,263,243,70.0000,2.0420
358,263,266,70.0000,2.0420
360,287,205,35.0000,1.9111
360,287,286,37.5000,1.9321
360,287,300,35.0000,1.9111
361,388,296,35.0000,1.9111
362,408,324,35.0000,1.9111
363,286,224,33.0000,1.8815
363,286,287,37.5000,1.9321
363,286,290,35.0000,1.9111
364,277,223,80.0000,2.1014
364,277,312,70.0000,2.0351
365,406,359,70.0000,2.3178
366,358,263,35.0000,1.9111
366,358,325,33.0000,1.8815
367,297,240,33.0000,1.8815
367,297,246,37.5000,1.9321
367,297,355,37.5000,1.9321
368,318,236,37.5000,1.9321
368,318,320,80.0000,1.9146
369,339,270,35.0000,1.9111
369,339,321,35.0000,1.9111
370,322,284,70.0000,2.0944
370,322,313,63.0000,2.0944
371,343,252,35.0000,1.9111
371,343,329,35.0000,1.9111
372,290,229,85.0000,1.8570
372,290,286,70.0000,2.1817
372,344,261,70.0000,1.9478
373,278,228,35.0000,2.0944
373,278,262,63.0000,2.0944
373,383,336,35.0000,1.9722
374,384,294,58.3500,1.9670
374,397,350,35.0000,2.0665
375,384,294,37.5000,1.9321
375,384,374,37.5000,1.9321
376,320,279,35.0000,2.0909
376,320,318,38.0000,2.0665
377,370,322,35.0000,2.0944
379,411,309,80.0000,1.9146
380,312,246,38.0000,2.0665
380,312,277,35.0000,2.0909
381,318,236,35.0000,1.9111
381,318,320,63.0000,1.9216
381,318,368,63.0000,1.9391
381,333,273,35.0000,2.0909
382,307,217,37.5000,1.9321
382,307,305,33.0000,1.8815
382,307,331,35.0000,1.9111
383,373,278,70.0000,2.0944
384,294,221,37.5000,1.9321
384,294,295,37.5000,1.9321
384,294,308,58.3500,1.9670
384,374,281,37.5000,1.9321
385,284,233,37.5000,1.9321
385,284,244,37.5000,1.9321
385,284,322,63.0000,1.9897
385,333,273,38.0000,2.0665
385,333,381,50.0000,2.1276
386,391,301,37.5000,1.9321
387,329,257,80.0000,2.1450
387,329,343,80.0000,2.1014
388,296,230,50.0000,2.1276
388,296,292,50.0000,2.0595
389,344,261,35.0000,2.1485
389,344,372,35.0000,2.0944
391,386,338,37.5000,1.9321
391,386,340,37.5000,1.9321
391,440,379,70.0000,2.0351
392,353,313,63.0000,2.0944
392,353,348,35.0000,2.0944
392,399,370,63.0000,2.0944
393,308,237,35.0000,1.9111
393,308,279,35.0000,1.9111
393,308,294,37.5000,1.9321
394,355,271,37.5000,1.9321
394,355,297,37.5000,1.9321
395,404,356,55.0000,1.8937
395,436,390,37.5000,1.9321
397,374,281,35.0000,1.9111
397,374,384,80.0000,1.9408
398,289,231,35.0000,2.0944
398,289,265,63.0000,2.0944
399,370,322,63.0000,2.0944
399,370,377,35.0000,2.0944
399,392,353,63.0000,2.0944
400,430,335,35.0000,1.9111
401,368,288,33.0000,1.8815
401,368,318,37.5000,1.9321
402,428,365,35.0000,2.0944
403,321,267,33.0000,1.8815
403,321,271,37.5000,1.9321
403,321,339,35.0000,1.9111
404,395,310,35.0000,1.9111
405,339,270,35.0000,1.9111
405,339,321,35.0000,1.9111
405,339,369,35.0000,1.9111
406,359,276,35.0000,2.1485
406,365,274,35.0000,2.0944
407,439,368,37.5000,1.9321
408,324,259,35.0000,1.9111
408,324,299,35.0000,1.9111
408,324,347,35.0000,1.9111
410,438,388,37.5000,1.9321
411,309,251,37.5000,1.9321
411,309,264,63.0000,1.9391
411,309,337,37.5000,1.9321
411,379,293,38.0000,2.0665
412,292,216,63.0000,1.9391
412,292,280,37.5000,1.9321
412,292,296,80.0000,1.9146
412,438,388,58.3500,1.9670
412,438,410,37.5000,1.9321
413,412,292,37.5000,1.9321
414,416,314,35.0000,2.0909
415,392,353,35.0000,2.0944
415,392,399,35.0000,2.0944
416,314,219,70.0000,2.0351
416,314,306,80.0000,2.1450
417,427,359,35.0000,2.1223
418,355,271,37.5000,1.9321
418,355,297,37.5000,1.9321
418,355,394,33.0000,1.8815
419,398,289,35.0000,2.0944
420,408,324,35.0000,1.9111
420,408,362,33.0000,1.8815
422,331,262,63.0000,2.0944
422,331,307,70.0000,2.0944
422,433,373,63.0000,2.0944
423,385,284,37.5000,1.9321
423,385,333,35.0000,1.9111
424,374,281,33.0000,1.8815
424,374,384,37.5000,1.9321
424,374,397,35.0000,1.9111
425,372,290,35.0000,2.0944
425,372,344,35.0000,2.1223
426,399,370,35.0000,2.0944
426,399,392,35.0000,2.0944
427,359,276,35.0000,2.0944
427,359,406,70.0000,1.9478
428,365,274,35.0000,2.0944
428,365,406,85.0000,2.0944
429,330,268,35.0000,2.0909
429,330,311,35.0000,2.0909
430,335,250,70.0000,2.0420
430,335,354,70.0000,2.0420
432,441,343,37.5000,1.9321
433,373,278,63.0000,2.0944
433,373,383,70.0000,2.0944
433,422,331,63.0000,2.0944
434,436,390,35.0000,1.9111
434,436,395,63.0000,1.9391
436,395,310,37.5000,1.9321
436,395,404,50.0000,1.9111
436,434,357,80.0000,2.1014
