ID1,ID2,ID3,ID4,V1,V2,V3,V4
2,4,3,1,0.0000,3.6250,0.0000,0.0000
2,4,3,8,0.0000,3.6250,0.0000,0.0000
4,3,1,0,0.0000,0.8410,0.0000,0.0000
7,8,3,1,0.0000,3.6250,0.0000,0.0000
7,8,3,4,0.0000,3.6250,0.0000,0.0000
8,3,1,0,0.0000,0.8410,0.0000,0.0000
9,4,3,1,0.0000,3.6250,0.0000,0.0000
9,4,3,8,0.0000,3.6250,0.0000,0.0000
9,14,13,8,0.0000,3.6250,0.0000,0.0000
9,14,13,18,0.0000,3.6250,0.0000,0.0000
10,9,4,2,0.0000,3.6250,0.0000,0.0000
10,9,4,3,0.0000,3.6250,0.0000,0.0000
11,21,19,15,0.0000,0.0000,0.1500,0.0000
11,21,19,16,0.0000,0.0000,0.1500,0.0000
11,21,19,27,0.0000,0.0000,0.1500,0.0000
13,8,3,1,0.0000,3.6250,0.0000,0.0000
13,8,3,4,0.0000,3.6250,0.0000,0.0000
13,14,9,4,0.0000,3.6250,0.0000,0.0000
13,14,9,10,0.0000,3.6250,0.0000,0.0000
14,9,4,2,0.0000,3.6250,0.0000,0.0000
14,9,4,3,0.0000,3.6250,0.0000,0.0000
14,13,8,3,0.0000,3.6250,0.0000,0.0000
14,13,8,7,0.0000,3.6250,0.0000,0.0000
17,23,14,9,0.0000,0.0000,0.0000,0.0000
17,23,14,13,0.0000,0.0000,0.0000,0.0000
18,13,8,3,0.0000,3.6250,0.0000,0.0000
18,13,8,7,0.0000,3.6250,0.0000,0.0000
19,21,11,5,0.0000,0.0000,0.1500,0.0000
19,21,11,6,0.0000,0.0000,0.1500,0.0000
19,21,11,12,0.0000,0.0000,0.1500,0.0000
20,25,21,11,0.0000,0.0000,0.1500,0.0000
20,25,21,19,0.0000,0.0000,0.1500,0.0000
20,25,21,26,0.0000,0.0000,0.1500,0.0000
22,23,14,9,0.0000,0.0000,0.0000,0.0000
22,23,14,13,0.0000,0.0000,0.0000,0.0000
23,14,9,4,0.0000,3.6250,0.0000,0.0000
23,14,9,10,0.0000,3.6250,0.0000,0.0000
23,14,13,8,0.0000,3.6250,0.0000,0.0000
23,14,13,18,0.0000,3.6250,0.0000,0.0000
24,25,21,11,0.0000,0.0000,0.1500,0.0000
24,25,21,19,0.0000,0.0000,0.1500,0.0000
24,25,21,26,0.0000,0.0000,0.1500,0.0000
25,21,11,5,0.0000,0.0000,0.1500,0.0000
25,21,11,6,0.0000,0.0000,0.1500,0.0000
25,21,11,12,0.0000,0.0000,0.1500,0.0000
25,21,19,15,0.0000,0.0000,0.1500,0.0000
25,21,19,16,0.0000,0.0000,0.1500,0.0000
25,21,19,27,0.0000,0.0000,0.1500,0.0000
26,21,11,5,0.0000,0.0000,0.1500,0.0000
26,21,11,6,0.0000,0.0000,0.1500,0.0000
26,21,11,12,0.0000,0.0000,0.1500,0.0000
26,21,19,15,0.0000,0.0000,0.1500,0.0000
26,21,19,16,0.0000,0.0000,0.1500,0.0000
26,21,19,27,0.0000,0.0000,0.1500,0.0000
28,38,31,30,0.0000,0.0000,0.0000,0.0000
28,38,31,34,0.0000,0.0000,0.0000,0.0000
33,45,37,35,0.0000,0.0000,0.2250,0.0000
36,38,31,30,0.0000,0.0000,0.0000,0.0000
36,38,31,34,0.0000,0.0000,0.0000,0.0000
40,23,14,9,0.0000,0.0000,0.0000,0.0000
40,23,14,13,0.0000,0.0000,0.0000,0.0000
41,47,40,23,0.0000,0.0000,0.0000,0.0000
41,47,40,42,0.0000,0.0000,0.0000,0.0000
41,47,40,56,0.0000,0.0000,0.0000,0.0000
42,40,23,14,0.0000,0.0000,0.2310,0.0000
42,40,23,17,0.0000,0.0000,0.1500,0.0000
42,40,23,22,0.0000,0.0000,0.1500,0.0000
43,60,59,39,0.0000,3.6250,0.0000,0.0000
43,60,59,92,0.0000,3.6250,0.0000,0.0000
44,45,37,35,0.0000,0.0000,0.2250,0.0000
46,25,21,11,0.6500,-0.0250,0.1000,0.0000
46,25,21,19,0.6500,-0.0250,0.1000,0.0000
46,25,21,26,0.0000,0.0000,0.1500,0.0000
47,40,23,14,0.4225,-0.4810,0.3565,0.0000
47,40,23,17,0.0000,0.0000,0.2320,0.0000
47,40,23,22,0.0000,0.0000,0.2320,0.0000
48,56,40,23,0.0000,0.0000,0.0000,0.0000
48,56,40,42,0.0000,0.0000,0.0000,0.0000
48,56,40,47,0.0000,0.0000,0.0000,0.0000
49,46,25,20,0.0000,0.0000,0.1500,0.0000
49,46,25,21,0.0000,0.0000,0.1500,0.0000
49,46,25,24,0.0000,0.0000,0.1500,0.0000
53,54,46,25,0.0000,0.0000,0.0000,0.0000
53,54,46,49,0.0000,0.0000,0.0000,0.0000
53,54,46,64,0.0000,0.0000,0.0000,0.0000
54,46,25,20,0.0000,0.0000,-0.0380,0.0000
54,46,25,21,-0.4580,0.2055,0.0000,0.0000
54,46,25,24,0.0000,0.0000,-0.0380,0.0000
55,73,65,54,0.0000,0.0000,0.0000,0.0000
55,73,65,67,0.0000,0.0000,0.0000,0.0000
55,73,66,47,0.0000,0.0000,0.0000,0.0000
55,73,66,81,0.0000,0.0000,0.0000,0.0000
56,40,23,14,-0.8485,-0.2280,0.2925,0.0000
56,40,23,17,0.0000,0.0000,-0.0380,0.0000
56,40,23,22,0.0000,0.0000,-0.0380,0.0000
57,68,52,32,0.0000,2.4500,0.0000,0.0000
57,68,52,61,0.0000,2.4500,0.0000,0.0000
58,64,46,25,0.0000,0.0000,0.0000,0.0000
58,64,46,49,0.0000,0.0000,0.0000,0.0000
58,64,46,54,0.0000,0.0000,0.0000,0.0000
60,59,39,29,0.0000,0.8410,0.0000,0.0000
62,77,69,38,0.0000,0.0000,0.0000,0.0000
62,77,69,75,0.0000,0.0000,0.0000,0.0000
62,77,69,106,0.0000,0.0000,0.0000,0.0000
64,46,25,20,0.0000,0.0000,0.2320,0.0000
64,46,25,21,0.2640,0.1615,0.2585,0.0000
64,46,25,24,0.0000,0.0000,0.2320,0.0000
65,54,46,25,0.9325,0.0445,0.1755,0.0000
65,54,46,49,0.0000,0.0000,0.0000,0.0000
65,54,46,64,0.3715,1.2540,-0.4025,0.0000
65,73,66,47,0.3715,1.2540,-0.4025,0.0000
65,73,66,81,0.0000,0.0000,0.0000,0.0000
66,47,40,23,0.2595,0.4385,2.6165,0.0000
66,47,40,42,0.0000,0.0000,0.0000,0.0000
66,47,40,56,-0.2980,0.1395,-2.4565,0.0000
66,73,65,54,-0.2980,0.1395,-2.4565,0.0000
66,73,65,67,0.0000,0.0000,0.0000,0.0000
67,65,54,46,0.0000,2.4500,0.0000,0.0000
67,65,54,53,0.0000,2.4500,0.0000,0.0000
69,38,31,30,0.0000,0.2730,0.0000,0.0000
69,38,31,34,0.0000,0.2730,0.0000,0.0000
72,111,101,70,0.0000,1.9500,0.0000,0.0000
72,111,101,149,0.0000,3.9680,0.0000,0.0000
73,65,54,46,1.1500,3.0445,0.0000,0.0000
73,65,54,53,0.0000,3.0445,0.0000,0.0000
73,66,47,40,1.1500,3.0445,0.0000,0.0000
73,66,47,41,0.0000,2.4500,0.0000,0.0000
75,69,38,28,0.0000,0.0000,0.1500,0.0000
75,69,38,31,0.0000,0.0000,0.1500,0.0000
75,69,38,36,0.0000,0.0000,0.1500,0.0000
77,69,38,28,0.0000,0.0000,0.2320,0.0000
77,69,38,31,-4.7285,-0.0770,-0.1265,0.0000
77,69,38,36,0.0000,0.0000,0.2320,0.0000
77,89,82,45,0.9325,0.0445,0.1755,0.0000
77,89,82,91,0.0000,0.0000,0.0000,0.0000
77,89,82,115,0.3715,1.2540,-0.4025,0.0000
78,108,94,63,0.0000,0.0000,0.1500,0.0000
78,108,94,100,0.0000,0.0000,0.1500,0.0000
78,108,94,130,0.0000,0.0000,0.1500,0.0000
81,66,47,40,0.0000,3.0445,0.0000,0.0000
81,66,47,41,0.0000,2.4500,0.0000,0.0000
82,45,37,35,-0.4955,-0.4345,0.3695,0.0000
82,89,77,62,0.0000,2.4500,0.0000,0.0000
82,89,77,69,1.1500,3.0445,0.0000,0.0000
83,98,74,50,0.0000,0.0000,0.1305,0.0000
83,98,74,76,0.0000,0.0000,0.1305,0.0000
83,98,74,84,0.0000,0.0000,0.1305,0.0000
85,116,114,79,0.0000,0.0000,0.2250,0.0000
85,116,114,127,-0.4955,-0.4345,0.3695,0.0000
85,116,114,142,0.0000,0.0000,0.2250,0.0000
86,56,40,23,0.9325,0.0445,0.1755,0.0000
86,56,40,42,0.0000,0.0000,0.0000,0.0000
86,56,40,47,0.3715,1.2540,-0.4025,0.0000
86,127,114,79,0.0000,0.0000,0.2320,0.0000
86,127,114,116,2.7145,-0.4395,0.5290,0.0000
86,127,114,142,0.0000,0.0000,0.2320,0.0000
87,98,74,50,0.0000,0.0000,0.1305,0.0000
87,98,74,76,0.0000,0.0000,0.1305,0.0000
87,98,74,84,0.0000,0.0000,0.1305,0.0000
89,77,69,38,0.2595,0.4385,2.6165,0.0000
89,77,69,75,0.0000,0.0000,0.0000,0.0000
89,77,69,106,-0.2980,0.1395,-2.4565,0.0000
89,82,45,33,0.0000,0.0000,-0.0380,0.0000
89,82,45,37,-2.8270,-0.4360,0.0000,0.0000
89,82,45,44,0.0000,0.0000,-0.0380,0.0000
90,92,59,39,0.0000,3.6250,0.0000,0.0000
90,92,59,60,0.0000,3.6250,0.0000,0.0000
91,82,45,33,0.0000,0.0000,0.1500,0.0000
91,82,45,37,0.0000,0.0000,0.2340,0.0000
91,82,45,44,0.0000,0.0000,0.1500,0.0000
92,59,39,29,0.0000,0.8410,0.0000,0.0000
93,60,59,39,0.0000,3.6250,0.0000,0.0000
93,60,59,92,0.0000,3.6250,0.0000,0.0000
93,141,137,92,0.0000,3.6250,0.0000,0.0000
93,141,137,172,0.0000,3.6250,0.0000,0.0000
95,93,60,43,0.0000,3.6250,0.0000,0.0000
95,93,60,59,0.0000,3.6250,0.0000,0.0000
96,123,105,71,0.0000,0.0000,0.1500,0.0000
96,123,105,113,0.0000,0.0000,0.1500,0.0000
96,123,105,143,0.0000,0.0000,-0.1125,0.0000
97,86,56,40,0.0000,2.4500,0.0000,0.0000
97,86,56,48,0.0000,2.4500,0.0000,0.0000
99,106,69,38,0.0000,0.0000,0.0000,0.0000
99,106,69,75,0.0000,0.0000,0.0000,0.0000
99,106,69,77,0.0000,0.0000,0.0000,0.0000
101,111,72,51,0.0000,1.9500,0.0000,0.0000
101,111,72,80,0.0000,1.9500,0.0000,0.0000
101,149,129,88,0.0000,0.0000,-0.2910,0.0000
101,149,129,144,1.3660,-0.1145,0.2425,0.0000
101,149,129,157,0.0000,0.0000,-0.2910,0.0000
103,139,125,164,0.0000,0.0000,0.2250,0.0000
104,64,46,25,0.2595,0.4385,2.6165,0.0000
104,64,46,49,0.0000,0.0000,0.0000,0.0000
104,64,46,54,-0.2980,0.1395,-2.4565,0.0000
104,147,130,94,-0.8485,-0.2280,0.2925,0.0000
104,147,130,119,0.0000,0.0000,-0.0380,0.0000
104,147,130,176,0.0000,0.0000,-0.0380,0.0000
104,147,132,108,-0.8685,0.6255,-1.7505,0.0000
104,147,132,154,-0.2980,0.1395,-2.4565,0.0000
106,69,38,28,0.0000,0.0000,-0.0380,0.0000
106,69,38,31,-2.3870,1.5155,0.0000,0.0000
106,69,38,36,0.0000,0.0000,-0.0380,0.0000
107,150,144,109,0.0000,0.0000,0.1500,0.0000
107,150,144,129,0.0000,0.0000,0.1500,0.0000
107,150,144,188,0.0000,0.0000,0.1500,0.0000
109,144,129,88,0.0000,0.0000,0.1500,0.0000
109,144,129,149,0.0000,0.0000,0.1500,0.0000
109,144,129,157,0.0000,0.0000,0.1500,0.0000
110,89,77,62,0.0000,2.4500,0.0000,0.0000
110,89,77,69,0.0000,3.0445,0.0000,0.0000
110,89,82,45,0.0000,0.0000,0.0000,0.0000
110,89,82,91,0.0000,0.0000,0.0000,0.0000
110,89,82,115,0.0000,0.0000,0.0000,0.0000
112,115,82,45,0.0000,0.0000,0.0000,0.0000
112,115,82,89,0.0000,0.0000,0.0000,0.0000
112,115,82,91,0.0000,0.0000,0.0000,0.0000
114,127,86,56,0.2595,0.4385,2.6165,0.0000
114,127,86,97,0.0000,0.0000,0.0000,0.0000
115,82,45,33,0.0000,0.0000,0.2320,0.0000
115,82,45,37,2.7145,-0.4395,0.5290,0.0000
115,82,45,44,0.0000,0.0000,0.2320,0.0000
118,123,105,71,0.0000,0.0000,0.1500,0.0000
118,123,105,113,0.0000,0.0000,0.1500,0.0000
118,123,105,143,0.0000,0.0000,-0.1125,0.0000
119,130,94,63,0.0000,0.0000,0.1500,0.0000
119,130,94,100,0.0000,0.0000,0.1500,0.0000
119,130,94,108,0.0000,0.0000,0.1500,0.0000
120,158,139,103,0.0000,0.0000,0.1500,0.0000
120,158,139,125,0.0000,0.0000,0.2340,0.0000
120,158,139,173,0.0000,0.0000,0.1500,0.0000
121,104,64,46,0.0000,3.0445,0.0000,0.0000
121,104,64,58,0.0000,2.4500,0.0000,0.0000
122,68,52,32,0.0000,2.4500,0.0000,0.0000
122,68,52,61,0.0000,2.4500,0.0000,0.0000
122,155,135,115,0.9325,0.0445,0.1755,0.0000
122,155,135,131,0.0000,0.0000,0.0000,0.0000
122,155,145,102,0.0000,0.0000,0.0000,0.0000
122,155,145,185,0.2595,0.4385,2.6165,0.0000
124,73,65,54,0.2595,0.4385,2.6165,0.0000
124,73,65,67,0.0000,0.0000,0.0000,0.0000
124,73,66,47,0.9325,0.0445,0.1755,0.0000
124,73,66,81,0.0000,0.0000,0.0000,0.0000
126,124,73,55,0.0000,0.0000,0.1500,0.0000
126,124,73,65,0.0000,0.0000,0.2320,0.0000
126,124,73,66,0.0000,0.0000,-0.0380,0.0000
127,86,56,40,1.1500,3.0445,0.0000,0.0000
127,86,56,48,0.0000,3.0445,0.0000,0.0000
128,124,73,55,0.0000,0.0000,0.1500,0.0000
128,124,73,65,0.0000,0.0000,0.2320,0.0000
128,124,73,66,0.0000,0.0000,-0.0380,0.0000
129,149,101,70,-0.0950,-0.2085,0.2090,0.0000
129,149,101,111,0.9145,0.1215,-0.2490,0.0000
130,147,104,64,0.9325,0.0445,0.1755,0.0000
130,147,104,121,0.0000,0.0000,0.0000,0.0000
130,147,132,108,2.3765,-0.3670,0.0000,0.0000
130,147,132,154,0.2595,0.4385,2.6165,0.0000
131,135,115,82,0.0000,3.0445,0.0000,0.0000
131,135,115,112,0.0000,2.4500,0.0000,0.0000
132,108,94,63,0.0000,0.0000,0.2320,0.0000
132,108,94,100,0.0000,0.0000,0.2320,0.0000
132,108,94,130,0.4225,-0.4810,0.3565,0.0000
132,147,104,64,0.3715,1.2540,-0.4025,0.0000
132,147,104,121,0.0000,0.0000,0.0000,0.0000
132,147,130,94,0.4225,-0.4810,0.3565,0.0000
132,147,130,119,0.0000,0.0000,0.2320,0.0000
132,147,130,176,0.0000,0.0000,0.2320,0.0000
132,154,150,107,0.0000,0.0000,0.0000,0.0000
132,154,150,144,0.9325,0.0445,0.1755,0.0000
132,154,150,206,0.3715,1.2540,-0.4025,0.0000
133,127,86,56,0.0000,0.0000,0.0000,0.0000
133,127,86,97,0.0000,0.0000,0.0000,0.0000
133,127,114,79,0.0000,0.0000,0.1500,0.0000
133,127,114,116,0.0000,0.0000,0.2340,0.0000
133,127,114,142,0.0000,0.0000,0.1500,0.0000
134,122,68,52,0.0000,0.0000,0.0000,0.0000
134,122,68,57,0.0000,0.0000,0.0000,0.0000
135,115,82,45,0.2595,0.4385,2.6165,0.0000
135,115,82,89,-0.2980,0.1395,-2.4565,0.0000
135,115,82,91,0.0000,0.0000,0.0000,0.0000
135,155,122,68,0.5225,-0.8015,0.0000,0.0000
135,155,122,134,0.0000,0.0000,-0.0380,0.0000
135,155,122,140,0.0000,0.0000,-0.0380,0.0000
135,155,145,102,0.0000,0.0000,0.0000,0.0000
135,155,145,185,-0.2980,0.1395,-2.4565,0.0000
136,108,94,63,0.0000,0.0000,0.1500,0.0000
136,108,94,100,0.0000,0.0000,0.1500,0.0000
136,108,94,130,0.0000,0.0000,0.1500,0.0000
137,92,59,39,0.0000,3.6250,0.0000,0.0000
137,92,59,60,0.0000,3.6250,0.0000,0.0000
137,141,93,60,0.0000,3.6250,0.0000,0.0000
137,141,93,95,0.0000,3.6250,0.0000,0.0000
140,122,68,52,0.0000,0.0000,0.0000,0.0000
140,122,68,57,0.0000,0.0000,0.0000,0.0000
